vehicle_id,country_code,year,traffic_volume
CAR,NO,2013,16577
CAR,NO,2013,15172
CAR,NO,2013,14006
CAR,NO,2013,13071
CAR,SI,2013,9749
CAR,SI,2013,9565
CAR,SI,2013,10221
CAR,SI,2013,10662
CAR,SI,2013,11001
CAR,SI,2013,8999
CAR,SI,2013,9269
CAR,SI,2013,9946
CAR,SI,2013,10169
CAR,SI,2013,10138
CAR,UA,2013,695
LOR_GT3P5-6,LT,2013,36.3
LOR_GT3P5-6,LT,2013,14.7
LOR_GT3P5-6,LT,2013,23.5
LOR_GT3P5-6,LT,2013,20.9
LOR_GT3P5-6,LT,2013,20.4
LOR_GT3P5-6,LT,2013,15.5
LOR_GT3P5-6,LT,2013,19.7
LOR_GT3P5-6,LT,2013,36.5
LOR_GT3P5-6,LT,2013,23.5
LOR_GT3P5-6,LT,2013,16
LOR_GT3P5-6,LT,2013,0.4
LOR_GT3P5-6,LT,2013,1.5
LOR_GT3P5-6,MT,2013,63.95
LOR_GT3P5-6,MT,2013,66.81
LOR_GT3P5-6,MT,2013,58.2
LOR_GT3P5-6,MT,2013,69.53
LOR_GT3P5-6,MT,2013,54.23
LOR_GT3P5-6,MT,2013,59.66
LOR_GT3P5-6,MT,2013,59.34
LOR_GT3P5-6,MT,2013,57.1
LOR_GT3P5-6,MT,2013,60
LOR_GT3P5-6,MT,2013,60.93
LOR_GT3P5-6,MT,2013,63.69
LOR_GT3P5-6,MT,2013,60.271
LOR_GT3P5-6,NO,2013,152
LOR_GT3P5-6,NO,2013,133
LOR_GT3P5-6,NO,2013,117
LOR_GT3P5-6,NO,2013,90
LOR_GT3P5-6,NO,2013,73
LOR_GT3P5-6,NO,2013,61
LOR_GT3P5-6,NO,2013,55
LOR_GT3P5-6,NO,2013,48
LOR_GT3P5-6,NO,2013,48
LOR_GT3P5-6,NO,2013,46
LOR_GT3P5-6,NO,2013,42
LOR_GT3P5-6,NO,2013,43
LOR_GT3P5-6,PT,2013,19
LOR_GT3P5-6,PT,2013,16
LOR_GT3P5-6,PT,2013,14.77
LOR_GT3P5-6,PT,2013,8.7
LOR_GT3P5-6,PT,2013,7.97
LOR_GT3P5-6,PT,2013,15.64
LOR_GT3P5-6,PT,2013,17.08
LOR_GT6,LT,2013,253.8
LOR_GT6,LT,2013,269.4
LOR_GT6,LT,2013,238.3
LOR_GT6,LT,2013,238.2
LOR_GT6,LT,2013,251.8
LOR_GT6,LT,2013,257.5
LOR_GT6,LT,2013,284.4
LOR_GT6,LT,2013,293.5
LOR_GT6,LT,2013,262.7
LOR_GT6,LT,2013,202.2
LOR_GT6,LT,2013,175.7
LOR_GT6,LT,2013,165
LOR_GT6,MT,2013,53.37
LOR_GT6,MT,2013,60.56
LOR_GT6,MT,2013,46.42
LOR_GT6,MT,2013,63.79
LOR_GT6,MT,2013,40.66
LOR_GT6,MT,2013,57.27
LOR_GT6,MT,2013,57.14
LOR_GT6,MT,2013,53.1
LOR_GT6,MT,2013,53.36
LOR_GT6,MT,2013,50.33
LOR_GT6,MT,2013,53.422
LOR_GT6,MT,2013,50.962
LOR_GT6,NO,2013,1923
LOR_GT6,NO,2013,1362
LOR_GT6,NO,2013,1340
LOR_GT6,NO,2013,1324
LOR_GT6,NO,2013,1338
LOR_GT6,NO,2013,1347
LOR_GT6,NO,2013,1364
LOR_GT6,NO,2013,1318
LOR_GT6,NO,2013,1310
LOR_GT6,NO,2013,1328
LOR_GT6,NO,2013,1273
LOR_GT6,NO,2013,1252
LOR_GT6,PT,2013,669
LOR_GT6,PT,2013,643
LOR_GT6,PT,2013,668.34
LOR_GT6,PT,2013,573.21
LOR_GT6,PT,2013,541.18
LOR_GT6,PT,2013,501.05
LOR_GT6,PT,2013,493.57
LOR_LE3P5,DK,2013,6616
LOR_LE3P5,DK,2013,6569
LOR_LE3P5,DK,2013,6602
LOR_LE3P5,DK,2013,6655
LOR_LE3P5,DK,2013,6745
LOR_LE3P5,DK,2013,6715
LOR_LE3P5,DK,2013,6605
LOR_LE3P5,DK,2013,6294
LOR_LE3P5,DK,2013,6579
LOR_LE3P5,DK,2013,6759
LOR_LE3P5,DK,2013,6726
LOR_LE3P5,DK,2013,6628
LOR_LE3P5,LT,2013,323.8
LOR_LE3P5,LT,2013,318.3
LOR_LE3P5,LT,2013,265.5
LOR_LE3P5,LT,2013,290.8
LOR_LE3P5,LT,2013,240.5
LOR_LE3P5,LT,2013,252.5
LOR_LE3P5,LT,2013,223.1
LOR_LE3P5,LT,2013,185.6
LOR_LE3P5,LT,2013,207.6
LOR_LE3P5,LT,2013,156.2
LOR_LE3P5,MT,2013,306.64
LOR_LE3P5,MT,2013,364.41
LOR_LE3P5,MT,2013,388.85
LOR_LE3P5,MT,2013,391.27
LOR_LE3P5,MT,2013,337.6
LOR_LE3P5,MT,2013,371.61
LOR_LE3P5,MT,2013,367.35
LOR_LE3P5,MT,2013,324.2
LOR_LE3P5,MT,2013,358.59
LOR_LE3P5,MT,2013,348.43
LOR_LE3P5,MT,2013,350.804
LOR_LE3P5,MT,2013,340.185
LOR_LE3P5,NL,2013,15242
LOR_LE3P5,NL,2013,15230
LOR_LE3P5,NL,2013,15473
LOR_LE3P5,NL,2013,15985
LOR_LE3P5,NL,2013,16442
LOR_LE3P5,NL,2013,16735
LOR_LE3P5,NL,2013,17117
LOR_LE3P5,NL,2013,16606
LOR_LE3P5,NL,2013,17244
LOR_LE3P5,NL,2013,17423
LOR_LE3P5,NL,2013,17399
LOR_LE3P5,NL,2013,17234
LOR_LE3P5,NO,2013,6660
LOR_LE3P5,NO,2013,6654
LOR_LE3P5,NO,2013,6640
LOR_LE3P5,NO,2013,6696
LOR_LE3P5,NO,2013,6807
LOR_LE3P5,NO,2013,6911
LOR_LE3P5,NO,2013,6928
LOR_LE3P5,NO,2013,6742
LOR_LE3P5,NO,2013,6966
LOR_LE3P5,NO,2013,6911
LOR_LE3P5,NO,2013,6786
LOR_LE3P5,NO,2013,6734
LOR_LE3P5,SI,2013,1010
LOR_LE3P5,SI,2013,1222
LOR_LE3P5,SI,2013,1240
LOR_LE3P5,SI,2013,1304
LOR_LE3P5,SI,2013,1518
LOR_LE3P5,SI,2013,1351
LOR_LE3P5,SI,2013,1664
LOR_LE3P5,SI,2013,1721
LOR_LE3P5,SI,2013,1729
LOR_LE3P5,SI,2013,1762
CAR,BE,2013,65086
CAR,BE,2013,64408
CAR,BE,2013,64513
CAR,BE,2013,63000
CAR,BE,2013,60818
CAR,CZ,2013,35117.102
CAR,CZ,2013,35248.938
CAR,CZ,2013,36187.63
CAR,DE,2013,274368
CAR,DE,2013,282462
CAR,DE,2013,292275
CAR,DE,2013,301030
CAR,DE,2013,303234
CAR,DE,2013,297628
CAR,DE,2013,290119
CAR,DE,2013,282245
CAR,DE,2013,265923
CAR,DE,2013,249677
CAR,DE,2013,238106
CAR,DE,2013,230189
CAR,EE,2013,3828
CAR,FI,2013,16809
CAR,FI,2013,16794
CAR,FI,2013,15547
CAR,FI,2013,15490
CAR,FI,2013,14047
CAR,FI,2013,13312
CAR,FR,2013,349778.057
CAR,FR,2013,355183.401
CAR,FR,2013,359522.237
CAR,FR,2013,362070.247
CAR,FR,2013,356702.071
CAR,FR,2013,345926.976
CAR,FR,2013,336654.85
CAR,FR,2013,266875.272
CAR,FR,2013,280710.968
CAR,FR,2013,290970.249
CAR,FR,2013,272653.842
CAR,FR,2013,259735.479
CAR,HR,2013,9362
CAR,HR,2013,10702
CAR,HR,2013,12166
CAR,HR,2013,13090
CAR,HR,2013,14118
CAR,HR,2013,13915
CAR,HR,2013,13578
CAR,HR,2013,14341
CAR,HR,2013,15340
CAR,HR,2013,16027
CAR,HR,2013,16439
CAR,IE,2013,14972
CAR,IE,2013,26298
CAR,IE,2013,19688
CAR,IE,2013,22021
CAR,IE,2013,23600
CAR,IE,2013,23982
CAR,IE,2013,24470
CAR,IE,2013,18317
CAR,IE,2013,21183
CAR,IE,2013,24207
CAR,IE,2013,23526
CAR,IS,2013,496
CAR,IS,2013,542
